,0
0,"step 0: train loss 4.2899, val loss 4.2849"
1,"step 250: train loss 2.0534, val loss 2.1376"
2,"step 500: train loss 1.6555, val loss 1.8426"
3,"step 750: train loss 1.4885, val loss 1.6995"
4,"step 1000: train loss 1.3811, val loss 1.6007"
5,"step 1250: train loss 1.3084, val loss 1.5552"
6,"step 1500: train loss 1.2540, val loss 1.5200"
7,"step 1750: train loss 1.2060, val loss 1.4879"
8,"step 2000: train loss 1.1645, val loss 1.4945"
9,"step 2250: train loss 1.1261, val loss 1.4824"
10,"step 2500: train loss 1.0871, val loss 1.4816"
11,"step 2750: train loss 1.0509, val loss 1.4804"
12,"step 3000: train loss 1.0150, val loss 1.4722"
13,"step 3250: train loss 0.9859, val loss 1.4825"
14,"step 3500: train loss 0.9518, val loss 1.4893"
15,"step 3750: train loss 0.9239, val loss 1.5007"
16,"step 4000: train loss 0.8970, val loss 1.5152"
17,"step 4250: train loss 0.8715, val loss 1.5228"
18,"step 4500: train loss 0.8516, val loss 1.5351"
19,"step 4750: train loss 0.8371, val loss 1.5432"
20,"step 5000: train loss 0.8250, val loss 1.5548"
