step,runtime,train_working_memory_error,val_reference_memory_error,val_tot_error,learning rate,val_working_memory_error,timestamp,train_reference_memory_error,loss,train_tot_error
1,1293.824856,0.659691811,0.905071795,0.687988281,0.0000995,0.606891394,1711117386,0.901076496,2.050029576,0.724700928
2,2395.845332,0.430694103,0.895303667,0.44720459,0.000099,0.277345181,1711118488,0.900122046,1.494591895,0.559783936
3,3526.309143,0.205166042,0.898337662,0.342437744,0.0000985,0.136969686,1711119618,0.893333316,1.112995366,0.395751953
4,4681.210113,0.128757894,0.900234342,0.31942749,0.000098,0.100810707,1711120773,0.896872938,0.96073396,0.340148926
5,5832.06403,0.106974185,0.898623109,0.314575195,0.0000975,0.093216062,1711121924,0.891515672,0.908208998,0.323699951
6,7560.941836,0.099885941,0.894128203,0.305328369,0.000097,0.085537076,1711123653,0.889891088,0.896398023,0.319061279
7,8683.267123,0.090744972,0.900022924,0.29776001,0.0000965,0.078964889,1711124775,0.8886531,0.8659158,0.308776855
8,9823.063677,0.085909963,0.898118258,0.296875,0.000096,0.069870114,1711125915,0.893685877,0.855081086,0.306884766
9,10965.00656,0.079684794,0.899232566,0.29675293,0.0000955,0.068932176,1711127057,0.888347924,0.850220715,0.302703857
10,12194.05314,0.078306079,0.896517158,0.295135498,0.000095,0.067869365,1711128286,0.888389945,0.850820445,0.304016113
11,13237.03101,0.071794689,0.905796289,0.296569824,0.0000945,0.065066278,1711129329,0.884426594,0.827346042,0.2940979
12,14269.06238,0.073073208,0.901954234,0.29095459,0.000094,0.059380531,1711130361,0.886915982,0.831520535,0.296875
13,15308.00824,0.07065016,0.899934232,0.292114258,0.0000935,0.057562172,1711131400,0.887481928,0.822573962,0.295074463
14,16346.09455,0.06625396,0.903594375,0.293060303,0.000093,0.061379135,1711132438,0.885109663,0.814834164,0.291809082
15,17383.65763,0.066624761,0.903989315,0.289031982,0.0000925,0.056207657,1711133476,0.886040509,0.810209969,0.290008545
16,18417.29911,0.062341928,0.904074609,0.292633057,0.000092,0.060855985,1711134509,0.888213158,0.811073324,0.290283203
17,19458.93405,0.060861528,0.89665854,0.28894043,0.0000915,0.057479978,1711135551,0.885067761,0.796488842,0.285400391
18,20499.64389,0.061943233,0.901219487,0.293487549,0.000091,0.062657952,1711136592,0.8828578,0.802187248,0.286712646
19,21540.41161,0.064422011,0.904391348,0.289581299,0.0000905,0.056955397,1711137633,0.883751512,0.817370742,0.292633057
20,22751.41229,0.055355728,0.902245581,0.285003662,0.00009,0.053029358,1711138844,0.876901209,0.802462369,0.284484863
21,23794.43208,0.052248478,0.903559506,0.278747559,0.0000895,0.042518258,1711139887,0.882545412,0.773039659,0.276824951
22,24834.35021,0.041386545,0.900838435,0.272186279,0.000089,0.036141574,1711140927,0.881801963,0.75938321,0.271392822
23,25889.50552,0.033767998,0.900693357,0.265136719,0.0000885,0.02660954,1711141982,0.87839365,0.729787073,0.261627197
24,27022.81565,0.020728409,0.896407604,0.254730225,0.000088,0.017226994,1711143115,0.877909601,0.70724579,0.254486084
25,28163.556,0.010428846,0.899539769,0.249572754,0.0000875,0.006873667,1711144256,0.880400181,0.672936578,0.24395752
26,29306.66724,0.003819704,0.901149929,0.251159668,0.000087,0.003372073,1711145399,0.882155657,0.651128294,0.243560791
27,30351.74479,0.00163424,0.909649312,0.24987793,0.0000865,0.001805663,1711146444,0.87477541,0.635229219,0.238891602
28,31387.77081,0.001466334,0.899988949,0.249969482,0.000086,0.001981556,1711147480,0.869633615,0.631155559,0.237213135
29,32425.70896,0.001093626,0.908239722,0.252319336,0.0000855,0.00097084,1711148518,0.861781359,0.63611196,0.237304688
30,33626.77658,0.001340926,0.905310214,0.248291016,0.000085,0.00159514,1711149719,0.847259641,0.624349269,0.231201172
31,34666.51376,0.001304805,0.903039873,0.245422363,0.0000845,0.002132177,1711150759,0.84837383,0.630814566,0.234191895
32,35710.6345,0.000971198,0.900985658,0.246734619,0.000084,0.001719773,1711151803,0.83489269,0.629570779,0.232177734
33,36831.97986,0.000924945,0.903135836,0.249603271,0.0000835,0.003612399,1711152924,0.830791473,0.620707341,0.228424072
34,37987.35894,0.001383364,0.894470096,0.243286133,0.000083,0.001255751,1711154080,0.826750457,0.610322966,0.225860596
35,39132.74271,0.001250565,0.905298352,0.248901367,0.0000825,0.001680493,1711155225,0.816628695,0.596064109,0.219726563
36,40176.05451,0.001596451,0.898019254,0.243469238,0.000082,0.001838505,1711156268,0.799553812,0.599218714,0.219909668
37,41216.58281,0.001183569,0.899357617,0.244567871,0.0000815,0.001422942,1711157309,0.779960513,0.601652149,0.21774292
38,42258.01838,0.001220882,0.89986515,0.245147705,0.000081,0.001089275,1711158350,0.770826399,0.583631197,0.21295166
39,43295.65103,0.001045644,0.904103458,0.248352051,0.0000805,0.001260519,1711159388,0.759566545,0.568971797,0.206115723
40,44484.17284,0.001257062,0.900807261,0.249420166,0.00008,0.001138091,1711160576,0.731214166,0.555550517,0.199584961
41,45530.11216,0.001083195,0.902027786,0.250427246,0.0000795,0.000886321,1711161622,0.731774092,0.541129133,0.196533203
42,46568.72925,0.001259625,0.901630104,0.245941162,0.000079,0.001633644,1711162661,0.712466478,0.543461691,0.195556641
