step,train_working_memory_error,val_working_memory_error,val_reference_memory_error,val_tot_error,learning rate,train_reference_memory_error,loss,train_tot_error
1,0.62886858,0.436410129,0.9006956815719604,0.562683105,0.0000995,0.9009631872177124,1.9583811648190022,0.702148438
2,0.3267247676849365,0.19186902046203613,0.9000777006149292,0.386535645,0.000099,0.8992342948913574,1.3581242952495813,0.484161377
3,0.174946129,0.12305116653442383,0.8974329829216003,0.33203125,0.0000985,0.8990633487701416,1.059853184968233,0.375488281
4,0.1288420557975769,0.10522115230560303,0.8991184234619141,0.32232666,0.000098,0.8983144760131836,0.9647791273891926,0.340606689
5,0.1135098934173584,0.095825255,0.8938485383987427,0.315155029,0.0000975,0.893946111,0.9290742371231318,0.329101563
6,0.10812175273895264,0.094505668,0.8980576992034912,0.312927246,0.000097,0.891541064,0.9148882441222668,0.325469971
7,0.09838748,0.079880178,0.9008245468139648,0.29864502,0.0000965,0.8901050090789795,0.8851530821993947,0.314727783
8,0.088598549,0.073485494,0.8967821002006531,0.299133301,0.000096,0.8869923949241638,0.8648052765056491,0.307006836
9,0.08023262,0.068259239,0.9009009003639221,0.296722412,0.0000955,0.8851388692855835,0.8511174274608493,0.302215576
10,0.077756166,0.066691935,0.8997440934181213,0.295166016,0.000095,0.8849945068359375,0.8495018575340509,0.30267334
11,0.072844923,0.066666663,0.9062396287918091,0.297851563,9.45E-05,0.8874386548995972,0.8328349152579904,0.295684814
12,0.067222297,0.06030637,0.9025094509124756,0.291778564,0.000094,0.8904672265052795,0.8232964752241969,0.293609619
13,0.067115545,0.05777365,0.9007014632225037,0.292480469,0.0000935,0.8808175325393677,0.8177631180733442,0.290679932
14,0.061494410037994385,0.061757982,0.9024850130081177,0.293029785,0.000093,0.8826723098754883,0.8132698498666286,0.287689209
15,0.065030456,0.055702805519104004,0.9036559462547302,0.288574219,0.0000925,0.8827941417694092,0.8106615440919995,0.287963867
16,0.060318649,0.052354693,0.9016320705413818,0.285797119,0.000092,0.8847854733467102,0.8063849313184619,0.287872314
17,0.058596551,0.054782986640930176,0.9001991748809814,0.287963867,0.0000915,0.8804749846458435,0.7967980708926916,0.282501221
18,0.058749377727508545,0.057857513427734375,0.8985587358474731,0.289276123,0.000091,0.8776192665100098,0.7989816814661026,0.282958984
19,0.061122656,0.057333946228027344,0.9007226228713989,0.288848877,0.0000905,0.8864906430244446,0.8156145289540291,0.291015625
20,0.052985728,0.045933604,0.8992291688919067,0.279022217,0.00009,0.8901411294937134,0.8059055833145976,0.286468506
21,0.048274398,0.034611821,0.9076752066612244,0.274139404,0.0000895,0.8880740404129028,0.7734396122395992,0.275421143
22,0.029789925,0.016076922,0.900614858,0.257537842,0.000089,0.881801963,0.7378577459603548,0.262969971
23,0.010782361030578613,0.00780654,0.8992395401000977,0.251068115,0.0000885,0.8843891620635986,0.6741986032575369,0.246459961
24,0.002685487,0.002299726,0.9005874395370483,0.2449646,0.000088,0.875335693,0.6459367414936423,0.240661621
25,0.001752019,0.002598584,0.9009990096092224,0.246856689,0.0000875,0.8648248910903931,0.6250095413997769,0.233428955
26,0.002056777,0.001854658,0.8999336361885071,0.249725342,0.000087,0.8575581312179565,0.6325650182552636,0.235565186
27,0.001759946,0.001637697,0.8984811305999756,0.246704102,0.0000865,0.8518643379211426,0.6246165987104177,0.232757568
28,0.001298726,0.004553318,0.9036357402801514,0.252838135,0.000086,0.8388401865959167,0.6189486058428884,0.228729248
29,0.001388073,0.001857281,0.9093412756919861,0.253265381,0.0000855,0.8346491456031799,0.6200385517440736,0.230072021
30,0.001257122,0.006842136,0.907881498,0.252807617,0.000085,0.8123315572738647,0.6046335315331817,0.22164917
31,0.001473188,0.001296043,0.8990846276283264,0.243743896,0.0000845,0.8079698085784912,0.6052934294566512,0.223205566
32,0.001224518,0.001551986,0.9059139490127563,0.247955322,0.000084,0.776444674,0.5964953387156129,0.216156006
33,0.001261234,0.002310216,0.902577817,0.248504639,0.0000835,0.7723477482795715,0.5824902867898345,0.212646484
34,0.001215637,0.001255751,0.8994256258010864,0.244628906,0.000083,0.750560999,0.5674768695607781,0.20501709
35,0.00083369,0.001302361,0.899051845,0.246917725,0.0000825,0.7444190979003906,0.5503278039395809,0.200073242
36,0.000966311,0.001713157,0.8943972587585449,0.242401123,0.000082,0.7240378856658936,0.5474313227459788,0.198791504
37,0.000972211,0.001422942,0.9010481238365173,0.245025635,0.0000815,0.7053335905075073,0.5445334468968213,0.196838379
38,0.000841975,0.002136588,0.9046976566314697,0.2472229,0.000081,0.6882972717285156,0.5297962413169444,0.189971924
39,0.000962019,0.001806736,0.9045494794845581,0.24887085,0.0000805,0.6762614250183105,0.5113031594082713,0.183532715
40,0.00100565,0.00295049,0.900807261,0.250732422,0.00008,0.655509353,0.4949601790867746,0.178833008
41,0.000416577,0.000759661,0.9012563228607178,0.25012207,0.0000795,0.6473474502563477,0.4785825968720019,0.173461914
42,0.00083977,0.000963449,0.8982574343681335,0.244537354,0.000079,0.631479025,0.47891770862042904,0.173126221
43,0.000958741,0.00112772,0.8955240845680237,0.242004395,0.0000785,0.613693357,0.4604116138070822,0.165100098
44,0.000542343,0.001220703,0.8956830501556396,0.247192383,0.000078,0.5932704210281372,0.4484684392809868,0.159667969
45,0.000967443,0.001350582,0.9006060361862183,0.250396729,0.0000775,0.5871232748031616,0.4486365900374949,0.161834717
46,0.000756443,0.001431525,0.8959857821464539,0.247619629,0.000077,0.5625766515731812,0.43570750392973423,0.154602051
47,0.001008689,0.001096308,0.901789665,0.249908447,0.0000765,0.5470247268676758,0.4249121816828847,0.150543213
48,0.001006663,0.001393735,0.9033109545707703,0.251617432,0.000076,0.5406071543693542,0.4171114517375827,0.148010254
49,0.000965834,0.001175761,0.89568907,0.245605469,0.0000755,0.5235064029693604,0.4089674,0.143768311
50,0.000757456,0.001008272,0.8983712792396545,0.246490479,0.000075,0.5278178453445435,0.4091560742817819,0.145599365
51,0.000590444,0.001222014,0.9016266465187073,0.249542236,0.0000745,0.4997791647911072,0.3949622423388064,0.138549805
52,0.000631571,0.000803769,0.897480845,0.250640869,0.000074,0.4803149700164795,0.37991450261324644,0.132629395
53,0.000799358,0.001176298,0.8979250192642212,0.246490479,0.0000735,0.48811107873916626,0.3832762399688363,0.134643555
54,0.000923574,0.000926077,0.8974586725234985,0.247467041,0.000073,0.47121942043304443,0.36870207032188773,0.129333496
55,0.000670969,0.001514852,0.8949239253997803,0.24697876,0.0000725,0.4590384364128113,0.3584575143177062,0.125488281
56,0.000760078,0.000968814,0.901949942,0.249145508,0.000072,0.4535549283027649,0.3605696512386203,0.126312256
57,0.000501275,0.001006961,0.9017127752304077,0.246551514,0.0000715,0.43917083740234375,0.3376752194017172,0.118682861
58,0.000969172,0.001306653,0.901260495,0.249694824,0.000071,0.4296149015426636,0.3435629678424448,0.119171143
59,0.000882804,0.0018875,0.8995183110237122,0.246429443,0.0000705,0.41826278,0.3309941543266177,0.115264893
60,0.000549257,0.001176715,0.90024519,0.247344971,0.00007,0.4290737509727478,0.34022040688432753,0.119567871
61,0.000963986,0.001057506,0.8924071192741394,0.249328613,0.0000695,0.4067796468734741,0.32140904013067484,0.111297607
62,0.000672638,0.001269639,0.9041470289230347,0.253082275,0.000069,0.3913140296936035,0.3119209457654506,0.107727051
63,0.000755429,0.000752985,0.899018407,0.243713379,0.0000685,0.3947427272796631,0.3082383864093572,0.10824585
64,0.000798762,0.001470566,0.8960749506950378,0.246307373,0.000068,0.3751530647277832,0.2995289054233581,0.103424072
65,0.000753224,0.001003027,0.8978506922721863,0.242950439,0.0000675,0.37612712383270264,0.2949784540105611,0.102386475
66,0.000547588,0.002223909,0.8923455476760864,0.2449646,0.000067,0.3618435263633728,0.2938774588983506,0.100067139
67,0.000796258,0.000792563,0.8969986438751221,0.241363525,0.0000665,0.36125773191452026,0.286136839,0.098754883
68,0.000631213,0.001217246,0.8973613381385803,0.245819092,0.000066,0.3427746295928955,0.27297972491942346,0.09463501
69,0.00084126,0.001089454,0.8934186697006226,0.243560791,0.0000655,0.3429301977157593,0.27211015205830336,0.09475708
70,0.000589728,0.000670314,0.8985165357589722,0.244476318,0.000065,0.3313026428222656,0.2635678283404559,0.091705322
71,0.000589132,0.001177728,0.8956966400146484,0.246673584,0.0000645,0.3349989056587219,0.27049192949198186,0.092498779
72,0.00041908,0.002388537,0.9006064534187317,0.246459961,0.000064,0.3230769634246826,0.2556846564402804,0.088104248
73,0.000629425,0.000883937,0.8986569046974182,0.247711182,0.0000635,0.31624889373779297,0.2524755315389484,0.086700439
74,0.000546694,0.001477897,0.9032471179962158,0.251495361,0.000063,0.3133481740951538,0.2517307323869318,0.086364746
75,0.000671685,0.001177192,0.9052655100822449,0.249023438,0.0000625,0.30859506130218506,0.249169429,0.084747314
76,0.000714898,0.000922263,0.8984515070915222,0.245025635,0.000062,0.2929922342300415,0.2357936657499522,0.0809021
77,0.000967741,0.001125515,0.9031890630722046,0.242828369,0.0000615,0.3024108409881592,0.2435112576931715,0.083770752
78,0.000837982,0.001428425,0.8953709006309509,0.246002197,0.000061,0.2814290523529053,0.22854798659682274,0.077056885
79,0.000674963,0.002494037,0.9018875956535339,0.252593994,0.0000605,0.27956753969192505,0.2285653310827911,0.077819824
80,0.000461757,0.001010358,0.901497483,0.248748779,0.00006,0.28798210620880127,0.23164143902249634,0.078948975
81,0.000712335,0.001380265,0.9011175036430359,0.244628906,0.0000595,0.2811412215232849,0.22225018590688705,0.076904297
82,0.000168562,0.001047552,0.9025048017501831,0.24597168,0.000059,0.2692860960960388,0.21591589786112309,0.074371338
83,0.000628352,0.00170809,0.899942935,0.241973877,0.0000585,0.2728499174118042,0.2174336559837684,0.074523926
84,0.000505865,0.001553535,0.8989052772521973,0.246704102,0.000058,0.26259946823120117,0.2147016585804522,0.072875977
85,0.000419199,0.001250565,0.9029391407966614,0.242797852,5.75E-05,0.2611379027366638,0.2097591522615403,0.07131958
86,0.000505984,0.001001239,0.9024667739868164,0.243011475,5.7E-05,0.251878023,0.20500865124631673,0.069946289
